ProductReference,CompanyID,CompanyName,CompanyTypeID,CompanyType,Sequence,Address1,Address2,Address3,CityName,StateName,Zip,CountryName,Phone1,Phone2,Fax1,Fax2,MainEmail,WebAddress
33981,75125,Chilmark Capital LLC,1,Management Firm,1,One Sansome Street,Suite 2900,,San Francisco,California,94104,United States,+1 415 835 3820,,+1 415 835 3821,,,www.chilmarkcapital.com
34610,75128,Titan Fund Advisors LLC,1,Management Firm,1,3 International Drive,Suite 120,,Rye Brook,New York,10573,United States,+1 914 937 7600,,+1 914 937 8820,,,www.titanadvisors.com
2397,75130,Thames River Capital Holdings Ltd,1,Management Firm,1,The Huntlaw Building,75 Fort Street,P.O. Box 1350,Grand Cayman,None,,Cayman Islands,+353 15 422 340,,,,,http://www.thamesriver.co.uk
34124,75133,Sierra Capital Investors Inc,1,Management Firm,1,4086 Mother Lode Drive,Suite E,,Shingle Springs,California,95682,United States,+1 530 677 1635,,+1 530 676 9704,,,http://www.sierrainvestor.com/
34623,75136,Crestline Investors Inc,1,Management Firm,1,201 Main Street,Suite 1900,,Fort Worth,Texas,76102,United States,+1 817 339 7600,,+1 817 339 7378,,crestlineinvestors@crestlineinc.com,www.crestlineinvestors.com
34412,75137,Roebling Capital Management LLC,1,Management Firm,1,10 Rockefeller Center,35 West 48th Street,11th Floor Suite 1111,New York,New York,10020,United States,+1 212 218 7590,,,,,www.bookbindercap.com
34628,75142,Bonita Capital Management LLC,1,Management Firm,1,441 Lexington Avenue,12th Floor,,New York,New York,10017,United States,+1 646 415 7546,,+1 646 415 7579,,,www.bonitacapital.com
34629,75144,Inflective Asset Management LLC,1,Management Firm,1,1334 Parkview Avenue,Suite 310,,Manhattan Beach,California,90266,United States,+1 310 545 2992,,+1 310 545 2341,,,www.inflectiveasset.com
33439,75153,Camelot Partners LLC,1,Management Firm,1,540 Madison Avenue,20th Floor,,New York,New York,10022,United States,+1 212 759 8777,,+1 212 759 7654,,,www.camelotpartnersllc.com
34047,75154,Tryphon Capital Advisors Inc,1,Management Firm,1,129 Chester Avenue,,Moorestown,None,New Jersey,08057,United States,+1 856 231 1500,,+1 856 231 9983,,,
34575,75155,Sabre Value Management,1,Management Firm,1,307 Briarvista Way,,,Atlanta,Georgia,30329,United States,+1 404 327 7694,,+1 404 321 1742,,,www.sabrevalue.com
45071,75157,Conquest Capital LLC,1,Management Firm,1,540 Madison Avenue,20th Floor,,New York,New York,10022,United States,+1 212 759 8777,,+1 212 759 7654,,,www.camelotpartnersllc.com
34638,75158,Global Opportunities (GO) Capital Asset Management BV,1,Management Firm,1,Johannes Vermeerstraat 14,,,Amsterdam,None,1071 DR,Netherlands,+31 20 570 3056,,+31 20 570 3047,,,www.go-capital.nl
34661,75175,Stonebrook Structured Products LLC,1,Management Firm,1,17 State Street,7th Floor,,New York,New York,10004,United States,+1 212 952 0500,,+1 212 952 0522,,,
34665,75176,Prospero Capital Management LLC,1,Management Firm,1,Prospero Capital Management LLC,500 Newport Center Drive,Suite 600,Newport Beach,California,92660,United States,+1 866 377 7677,,+1 240 371 0830,,invest@prosperofunds.com,www.prosperofunds.com
35948,75177,Cutler Investment Corp,1,Management Firm,1,75 Main Street,,,Concord,Massachusetts,01742,United States,+1 978 287 5860,,+1 978 371 2064,,,www.cutler-investments.com
34074,75178,Blue Sky Capital Management Pty Ltd,1,Management Firm,1,"Suite 2, Level 1",1 Rialto Lane,,Sydney,None,NSW  20,Australia,+61 2 9976 6250,,+61 2 9976 5077,,,
34239,75179,SITE Capital Management LLC,1,Management Firm,1,46 Murray Hill Road,,,Scarsdale,New York,10583,United States,+1 914 725 0440,,+1 914 725 0642,,,
33703,75181,Brownstone Advisors LLC,1,Management Firm,1,520 Madison Avenue,40th Floor,,New York,New York,10022,United States,+1 212 838 2826,,+1 212 838 2474,,,
34694,75184,"Segalas Group, LLC",1,Management Firm,1,11 Burtis Avenue,,,New Canaan,Connecticut,06840,United States,+1 203 801 5296,,+1  801 5299,,,http://www.segalasgroup.com/
34607,75186,Lampost Financial Inc,1,Management Firm,1,7777 West Glades Road,Suite 213,,Boca Raton,Florida,33434,United States,+1 561 883 0454,,+1 561 883 8641,,,www.TheLampost.com
3895,75191,New Star Institutional Managers Limited,11,Underwriter/Sponsor,1,5 Princess Gate,,,London,None,SW7 925,United Kingdom,+44 20 7225 9250,,+44 20 7225 9350,,,
34721,75198,InTrust Advisors,1,Management Firm,1,320 West Kennedy Boulevard,Suite 250,,Tampa,Florida,33606-1,United States,+1 813 253 2388,,+1 813 253 0949,,,www.intrustadvisors.com
34722,75200,WFT FlylineManagement LLC,11,Underwriter/Sponsor,1,301 Commerce St.,Suite 1300,,Fort Worth,Texas,76102,United States,,,,,,
34710,75208,JohnDavis Capital Management LLC,1,Management Firm,1,767 Third Avenue,15th Floor,,New York,New York,10017,United States,+1 212 521 8100,,+1 212 588 9760,,,www.jdaviscap.com
43292,75209,Zeus Capital LLC,1,Management Firm,1,60 Arch Street,,,Greenwich,Connecticut,06830,United States,+1 203 862 8512,,,,,www.zeuscapital.com
35993,75210,Bainbridge Partners LLC,1,Management Firm,1,1270 Avenue of the Americas,Suite 1905,,New York,New York,10020,United States,+1 212 218 5350,,+1 212 218 5349,,info@bainbridgepartners.com,www.bainbridgepartners.com
34739,75212,FH International Financial Services Inc,1,Management Firm,1,"FH International Asset Management, LLC",550 Mamaroneck Avenue,Suite 407,Harrison,New York,10528-1,United States,+1 914 698 7300,,+1 914 698 7429,,,http://www.fhinternational.com/
34725,75216,GMO Investment Partners LLC,11,Underwriter/Sponsor,1,40 Rowes Wharf,,,Boston,Massachusetts,02110,United States,+1 617  346 7529,,+1 617  310 4529,,,www.gmo.com
34479,75221,Thunder Capital Management LLC,1,Management Firm,1,Thunder Capital Management LLC,601 Cleveland Street,Suite 310,Clearwater,Florida,33755,United States,+1 727 461 6118,,+1 727 449 8930,,,www.thundercapital.com
34655,75223,WorldMark Family of Funds LLC,1,Management Firm,1,11465 Old Harbour Road,,,North Palm Beach,Florida,33408,United States,+1 561 622 5420,,+1 518 891 7000,,,www.worldmarkfunds.com
34216,75229,HC Investment Advisors LLC,1,Management Firm,1,400 Park Avenue,16th Floor,,New York,New York,10022,United States,+1 212 702 0985,,,,,www.hcfunds.com
34216,75230,HC Asset Management LLC,11,Underwriter/Sponsor,1,,,,None,None,,None,,,,,,
34779,75231,DYNAMIC Capital Management Ltd.,1,Management Firm,1,630 Fifth Avenue,,,New York,New York,10111,United States,+1 212 246 9000,,+1 212 246 2882,,mail@dynamicfunds.com,www.dynamicfunds.com
34788,75234,Trilogy Advisors LLC,1,Management Firm,1,1114 Avenue of the America,28th floor,,New York,New York,10036,United States,+1 212 703 3105,,+1 212 703-3180,,,
33428,75236,FM Asset Management Limited,1,Management Firm,1,International Centre,Bermudiana Road,Suite 502,Hamilton,None,HM HX,Bermuda,,+1 441 292 2739,+ 441 292 4069,+ 441 292 1884,,www.fmgfunds.com
33428,75237,FMC Securities LLC,2,Investment Advisor,1,2 Paveletskaya Square,Building 3,12th Floor,Moscow,None,113054,Russian Federat,+7 495 721 9200,,+7 495 721 9201,,,
914,75239,Sigma Asset Management,1,Management Firm,1,P.O. Box 105,Trafalgar Court,Admiral Park,St Peters Port,None,GY1 3EP,Guernsey,+44 1481 743 050,,+44 1481 728 089,,,www.samgsy.com
34811,75241,Mission Advisors,1,Management Firm,1,115 E Travis,Suite 1111,,San Antonio,Texas,78205,United States,+1 210 323 2000,,+1 210 323 2200,,,
34817,75242,Ascendant Capital Partners LLC,1,Management Firm,1,1235 Westlakes Drive,Suite 350,,Berwyn,Pennsylvania,19312,United States,+1 484 329 2394,,+1 484 329 2694,,,www.acpfunds.com
34831,75246,BlackHawk Capital Management,1,Management Firm,1,"1520 South Blvd, Suite 200",Suite 314,,Charlotte,North Carolina,28203,United States,+1 704 927 4614,,+1 704 927 4630,,barbara.stoner@blackhawkalpha.com,www.blackhawkalpha.com
34807,75247,Fortune Asset Management Ltd,1,Management Firm,1,10 Exchange Square,Primrose Street,,London,None,EC2A 2B,United Kingdom,+44 20 7426 4000,,+44 20 7426 4703,,info@fortune.co.uk,www.fortune.co.uk
33978,75248,RHA Inc,11,Underwriter/Sponsor,1,,,,None,None,,None,,,,,,
33978,75249,Atlas Capital Management LP,1,Management Firm,1,100 Crescent Court,Suite 850,,Dallas,Texas,75201,United States,+1 214 999 6082,,+1 214 999 6095,,,www.preceptfund.com
34838,75251,Colden Capital Advisers LLC,1,Management Firm,1,230 Park Ave,13th Floor,,New York,New York,10169,United States,+1 212 499 2550,,+1 212 499 2555,,,www.inginvestment.com
33951,75253,Elm Ridge Capital Management LLC,1,Management Firm,1,747 3rd Avenue,33rd Floor,,New York,New York,10017,United States,+1 212 821 1499,,+1 212 821 1462,,,
34846,75254,CAZ Investments,1,Management Firm,1,One Riverway,Suite 2000,,Houston,Texas,77056,United States,+1 713 403 8250,,+1 713 403 8251,,,www.cazininvestments.com
34030,75257,Alpha Capital Research LLC,1,Management Firm,1,115 Quail Run,,,Glastonbury,Connecticut,06033,United States,+1 860 659 2363,,+1 860 659 4345,,,
34833,75259,Pirate Capital LLC,1,Management Firm,1,200 Connecticut Avenue,4th Floor,,Norwalk,Connecticut,06854,United States,+1 203 854 1100,,+1 203 854 5841,,,www.piratecapitalllc.com
3543,75261,Oram Advisors LLC,1,Management Firm,1,400 Madison Avenue,Suite 12C,,New York,New York,10017,United States,+1 212 758 5665,,+1 212 758 5151,,,
33639,75262,Double V Management LP,1,Management Firm,1,230 Park Ave,13th Floor,,New York,New York,10169,United States,+1 212 309 1764,,+1 212 309 5997,,,www.inginvestment.com
34844,75263,Westbury Capital Management Limited (WCML),1,Management Firm,1,P.O. Box 255 Barfield House,St Julian's Avenue,,St Peters Port,None,GY1 3QL,Guernsey,+44 1481 710 651,,+44 1481 710 284,,,www.westburyam.com
34856,75265,Pentagram Investment Partners LLC,1,Management Firm,1,1041 Brush Hill Road,,,Milton,Massachusetts,02186,United States,+1 617 333 6936,,+1 617 364 4232,,,www.Pentagrampartners.com
36131,75266,Sprott Asset Management LP,1,Management Firm,1,"Royal Bank Plaza, South Tower",200 Bay Street,"Suite 2700, PO Box 27",Toronto,Ontario,M5J 2J1,Canada,+1 416 943 6707,+888 362 7172,+1 416 362 4928,,info@sprott.com,www.sprott.com
34871,75274,Frommer Capital Management LLC,1,Management Firm,1,2 Executive drive,Suite 510,,Fort Lee,New Jersey,07024,United States,+1 201 461 8500,,+1 201 461 6711,,,
34885,75276,Madison Capital Managers LLC,1,Management Firm,1,1007 Church Street,Suite 305,,Evanston,Illinois,60201,United States,+1 847 475 7978,,+1 847 475 6491,,,www.madisoncapitalfunds.com
34889,75279,Santa Monica Partners LP,1,Management Firm,1,1865 Palmer Avenue,,,Larchmont,New York,10538,United States,+1 914 833 0875,,+1 914 833 7764,,,www.smplp.com
34909,75289,Trek Capital Management LLC,1,Management Firm,1,Trek Capital Management LLC,One Montgomery Street,Suite 3300,San Francisco,California,94104,United States,+1 415 677 2990,,+1 415 677 2992,,,www.trekcapital.com
34911,75291,Vega Capital Group LLC,1,Management Firm,1,2855 Telegraph Avenue,#304,,Berkeley,California,94705,United States,+1 510 540 8480,,+1 253 981 0625,,,www.vegafund.com
34910,75292,Dutchess Capital Management,1,Management Firm,1,312 Stuart St,,,Boston,Massachusetts,02116,United States,+1 617 960 3570,,+1 617 960 3772,,,www.dpef.com
34913,75294,Aladdin Capital Management,1,Management Firm,1,Six Landmark Square,Sixth Floor,,Stamford,Connecticut,06901,United States,+1 203 487 6700,,+1 203 487 6764,,,www.aladdincapital.com
34832,75301,Kayne Anderson Capital Advisors LP,1,Management Firm,1,1800 Avenue of the Stars,Suite 200,,Los Angeles,California,90067,United States,+1 310 284 6451,,+1 310 284 2451,,info@kayne.com,www.kaynecapital.com
34745,75303,Silver Capital Management LLC,1,Management Firm,1,605 Third Avenue,3rd Floor,,New York,New York,10158,United States,+1 800 304 9850,,+1 212 476 8956,,,
294,75308,Sofaer Capital Inc,1,Management Firm,1,Craigmuir Chamber,PO Box 71,Road Town,Tortola,None,,Virgin Islands,+852  2521 8882,,+852  2530 2913,,,www.sofaer.com
1270,75309,Pioneer Alternative Investment Management (PAIM) Limited,2,Investment Advisor,1,Sixth Floor,1 George's Quay Plaza,George's Quay,Dublin 2,None,,Ireland,+353 1 480 2700,,+353 1 449 5700,,,www.pioneeraltinvest.com
34951,75310,Leeward Hedge Funds Inc,1,Management Firm,1,Leeward Hedge Funds Inc,2 Bloor Street West,Suite 2100,Toronto,Ontario,M4W 3E2,Canada,+1 416 482 0242,,+1 416 482 3067,,,www.leewardcapital.ca
34966,75314,Imperium Capital Management LLC,1,Management Firm,1,One Tampa City Center,Suite 2505,,Tampa,Florida,33602,United States,+1 813 221 4600,,+1 813 221 5600,,,www.imperium-capital.com
34968,75315,Alki Capital management LLC,1,Management Firm,1,655 Montgomery Street,Suite 1438,,San Francisco,California,94111,United States,+1 415 347 8118,,,,,
34775,75317,Dynasty Asset Management Ltd,1,Management Firm,1,268 Xi Zang Xhong Road,Suite 2502,,Shanghai,None,200001,China,+86 21 6340 4400,+1 954  568 5800,+86 216 340 4401,+1 954 568 1014,,www.dynastyfund.com
34994,75319,Corin Capital LLP,1,Management Firm,1,63 Curzon Street,1st Floor,,London,None,W1J 8PD,United Kingdom,+44 20 7907 8787,,+44  20 7907 8788,,,www.corincapital.com
51226,75321,Vision Investment Management Limited,1,Management Firm,1,18th Floor Cheung Kong Center,2 Queen's Road Central,,Central,None,,Hong Kong,+852  2878 3628,,+852  2878 7687,,,www.visioninvestment.com
34670,75323,Prospect Asset Management,1,Management Firm,1,630 Fifth Avenue,Rockefeller Plaza,Suite 2000,New York,New York,10111,United States,+1 212 332 3350,,+1 212 332 3401,,info@prospectjapan.com,www.prospectjapan.com
33958,75330,Walbert Capital Management LLC,1,Management Firm,1,11 Forest Street,,,New Canaan,Connecticut,06840,United States,+1 203 972 9215,,+1 203 972 9312,,,www.walbertcapital.com
35027,75331,Alupka Asset Management LLC,1,Management Firm,1,"201 California Street,Suite 640",,,San Francisco,California,94111,United States,+1 415 352 2676,,+1 415 352 2678,,,www.alupkapartners.com
2463,75334,CDIB Venture Investment (UK) Corp,1,Management Firm,1,3200-5 Citibank Tower,Citibank Plaza,3 Garden Road Central,Hong Kong,None,,Hong Kong,+852  28022280,,+852  28022283,,,
34043,75339,Topping Capital,1,Management Firm,1,400 North Michigan Avenue,Suite 1016,,Chicago,Illinois,60025,United States,+1 312 661 9963,,+1 312 661 9969,,,
34992,75341,Uniastrum Capital Limited,1,Management Firm,1,Exchange Tower,1 Harbour Exchange Square,,London,None,E14 9GE,United Kingdom,+44 20 7531 1166,,+44 870  460 2888,,,www.uniastrum.co.uk
35075,75344,Kevin Teeple Management,1,Management Firm,1,365 Brewer Road,,,Sedona,Arizona,86336,United States,+1 928 282 5131,,,,,www.ktmfunds.com
34985,75345,Ferrell Asset Management,1,Management Firm,1,80 Raffles Place,#28-21 UOB Plaza 2,,Singapore,None,048624,Singapore,+65  6536 6623,,+65  6536 1738,,,www.ferrell.com.sg
35078,75346,OppenheimerFunds Inc,1,Management Firm,1,6803 S. Tuscon Way,,,Englewood,Colorado,80112-3,United States,,,,,,
43528,75352,NuWave Investment Management LLC,1,Management Firm,1,35 Waterview Boulevard,,,Parsippany,New Jersey,07054,United States,+1 973 888 6800,,+1 973 888 6810,,info@nuwavecorp.com,http://www.nuwavecorp.com/
35008,75358,Shenandoah Asset Management LLC,1,Management Firm,1,121 Shockoes Slip,,,Richmond,Virginia,23219,United States,+1 804 343 1400,,+1 804 343 1401,,,
35110,75360,PEF Advisors LLC,1,Management Firm,1,200 Mansell Court East,Suite 550 - A,,Roswell,Georgia,30076,United States,+1 678 353 2190,,+1 678 353 2188,,,www.pefadvisors.com
33945,75361,JANA Partners LLC,1,Management Firm,1,200 Park Avenue,Suite 3300,,New York,New York,10166,United States,+1 212 692 7696,,+1 212 692 7652,,,www.janapartners.com
35091,75363,RPM Metroplitan Capital LLC,1,Management Firm,1,6116 North Central Expressway,Suite 1300,,Dallas,Texas,75206,United States,+1 214 647 2200,,+1 214 368 0228,,,
35135,75364,Heuristic Advisors LLC,1,Management Firm,1,153 East 53rd Street,Suite 4900,,New York,New York,10022,United States,+1 212 303 4341,,+1 212 838 7598,,,
34991,75369,OakBrook Investments LLC,1,Management Firm,1,701 Warrenville Road,Suite 335,Lisle,None,Illinois,60532-1,United States,+1 630 271 0100,,+1 630 271 0150,,,www.oakbrookinvest.com
33960,75372,Clipper Capital Management LLC,1,Management Firm,1,3000 Westchester Avenue,Suite 204,,Purchase,New York,10577,United States,+1 203 855 1723,,+1 617 574 6020,,,
35035,75373,Aster X Capital Management BV,1,Management Firm,1,Haaksbergweg 75,,,Amsterdam,None,1101 BR,Netherlands,+31 20 751 7090,,+31 20 7517 098,,,www.aster-xcm.com
34608,75375,Invicta Investment Management Limited,1,Management Firm,1,,,,New York,None,,United States,+1 646 290 7946,,,,mrawlings@jamesalpha.com,
34993,75376,Constellation Capital Management,1,Management Firm,1,70 East 55th St,24th Floor,,New York,New York,10022,United States,+1 212 421 3700,,+1 212 421 4339,,,www.constellationcapital.com
4140,75378,Quantlab Capital Management Ltd,1,Management Firm,1,4200 Montrose Boulevard,Suite 450,,Houston,Texas,77006,United States,+1 713 523 9394,,+1 713 526 2432,,,
3174,75379,PM Capital Ltd,1,Management Firm,1,"Lv 24,",400 George Street,,Sydney,None,NSW 200,Australia,+61 02 9247 4777,,+61 02 9247 0880,,,www.pmcapital.com.au
2440,75382,Mellon HBV Alternative Strategies LLC,1,Management Firm,1,200 Park Avenue,54th Floor,,New York,New York,10166-3,United States,+1 212 922 8200,,+1 212 922 8955,,,www.mellonhbv.com
35215,75386,Independent Asset Management,1,Management Firm,1,177 Broad Street,Suite 1071,,Stamford,Connecticut,06901,United States,+1 203 355 1160,,+1 203 355 1169,,,
34965,75392,SD International Management LLC,1,Management Firm,1,132 McKinley Place,,,Rockaway,New Jersey,07866,United States,+1 212 702 6538,,+1 212 702 6564,,,
35092,75395,Manco Limited,1,Management Firm,1,PO Box 309,Ugland House,South Church Street,George Town,None,,Cayman Islands,+ 401 732 1132,,,,,www.maplesandcalder.com
4617,75397,Maples & Calder (Cayman),1,Management Firm,1,PO BOX 309,Ugland House,South Church Street,Grand Cayman,None,KY-1104,Cayman Islands,+1 345 949 80 66,,+1 345 949 8080,,iain.mcmurdo@maplesandcalder.com,www.maplesandcalder.com
2370,75404,Concordia Advisors (Bermuda) Ltd,2,Investment Advisor,1,10 Cavendish Road,,,Hamilton,None,,Bermuda,+1 441 292 1962,,+1 441 295 1874,,,www.concordiafunds.com
34827,75407,Dionis Management LLC,1,Management Firm,1,280 Park Avenue,39 th Floor,,New York,New York,10017,United States,+1 212 692 7611,,+1 212 692 7612,,,www.dioniscapital.com
34953,75413,Financia Capital LLC,1,Management Firm,1,220 Montgomery Street,Suite 500,,San Francisco,California,94104,United States,+1 415 733 3239,,+1 415 296 9924,,,www.financiacapital.com
35266,75417,Yorkville Advisors LLC,11,Underwriter/Sponsor,1,101 Hudson Street,Suite 3700,,Jersey City,New Jersey,07302,United States,+1 201 985 8300,,+1 201 369 7770,,,http://www.yorkvilleadvisors.com/
35267,75419,Treesdale Partners LLC,1,Management Firm,1,1325 Avenue of the Americas,Suite 2302,,New York,New York,10019,United States,+1 212 649 0699,,+1 212 757 0697,,,www.ggkllp.com
35263,75430,Pacific World Asset Management Ltd,1,Management Firm,1,Room 3507 Edinburgh Tower,The Landmark,15 Queen's Road Central,Hong Kong,None,,Hong Kong,+852 2 851 9725,,+852 2 544 0015,,,
34494,75431,Triage Capital Management LP,1,Management Firm,1,401 City Avenue,Suite 800,,Bala Cynwyd,Pennsylvania,19004,United States,+1 610 227 0302,,+1 610 668 1919,,,www.triagefunds.com
34494,75432,Leon Frenkel,11,Underwriter/Sponsor,1,,,,None,None,,None,,,,,,
34731,75436,Triage Advisors LLC,11,Underwriter/Sponsor,1,,,,None,None,,None,,,,,,
35198,75439,Tilney International Ltd,1,Management Firm,1,Europa House,Hartcourt Centre,Hartcourt Street,Dublin 2,None,,Ireland,+353 1 407 22 89,,+353 1 407 22 93,,,www.tilney.com
35327,75444,Villano Capital Management Inc.,1,Management Firm,1,835 Nesconset Highway,Suite H-1,Nesconset,None,New York,11767-2,United States,+1 631 979 5043,,+1 631 979 2124,,,www.villanocapital.com
35334,75447,Normandy Asset Management (BVI),1,Management Firm,1,PO Box 805,Columbus Centre,"Pelican Drive, Road Town",Tortola,None,,Virgin Islands,+41 22 319 06 94,,,,,
35097,75449,Bedford Canyon Partners LLC,1,Management Firm,1,535 Madison Avenue,18th Floor,,New York,New York,10022,United States,+1 212 326 9230,,+1 212 829 4408,,,
35270,75451,Focus Investment Group,1,Management Firm,1,375 Park Avenue,Suite 2201,,New York,New York,10152,United States,+1 212 798 6176,,+1 212 527 2961,,,www.focusg.com
35270,75454,Marco Fila & Mazen Jabban,11,Underwriter/Sponsor,1,,,,None,None,,None,,,,,,
35296,75456,Twin Management Inc,1,Management Firm,1,Two Grand Central Tower,140 East 45th Street,27th Floor,New York,New York,10017,United States,+1 212 687 6850,,+1 212 687 6901,,sales@twincap.com,
35348,75457,Wolverine Asset Management LLC,1,Management Firm,1,175 West Jackson Blvd,Suite 200,,Chicago,Illinois,60604,United States,+1 312 884 4400,,+1 312 884 4401,,,www.wolverinehedgefunds.com
35299,75458,BBVA & Partners Alternative Investment AV SA,1,Management Firm,1,Via de las Dos Castillas 33,Edificio Atica 7,"2nd Planta, Oficina C",Madrid,None,28223,Spain,+34 91 351 8787,,+34 91 351 8790,,,www.bbvapartners.com
35299,75459,Banco Bilbao Vizacaya Argentaria,11,Underwriter/Sponsor,1,,,,None,None,,Brazil,,,,,,https://www.bbva.es/TLBS/tlbs/esp/segmento/particu
33919,75460,Gates Capital Management,1,Management Firm,1,Gates Capital Management,1177 Avenue of the Americas,46th Floor,New York,New York,10036,United States,+1 212 626 1421,,+1 212 626 1417,,,http://www.gatescap.com/
35111,75462,Mark Capital Management,1,Management Firm,1,141 West Jackson Boulevard,Suite 1340 A,,Chicago,Illinois,60604,United States,+1 312 648 2450,,+1 312 577 0800,,,
34955,75466,Kovitz Investment Group LLC (Chicago),1,Management Firm,1,222 West Adams Street,Suite 2160,,Chicago,Illinois,60606,United States,+1 312 334 7334,,+1 312 334 7308,,Info@Kig-llc.com,
1327,75475,Monitor Fund Advisors LLC,1,Management Firm,1,33 North Garden Avenue,Suite 770,,Clearwater,Florida,33755-6,United States,+1 727 489 7700,,+1 617 582 3301,,,www.monitorfundadvisors.com
34960,75484,Olsen Limited,1,Management Firm,1,233 Seefeldstrasse,,,Zurich,None,CH-8008,Switzerland,+41 1 386 4848,,+41 1 422 2282,,,www.olseninvest.com
4070,75487,Everest Capital Limited,1,Management Firm,1,The Bank of Bermuda Building,"65 Front Street, 6th Floor",,Hamilton,None,HM 12,Bermuda,+1 441 292 2200,,+1 441 292 2285,,,www.everestcapital.com
34923,75489,Victory Investment Management LLC,1,Management Firm,1,47 Maple Street,,,Summit,New Jersey,07901,United States,+1 908 598 8020,,+1 908 598 1708,,,www.vfim.net
35175,75490,Alternative Investment Management & Research SA,1,Management Firm,1,2 bis rue Baylon,Carouge,,Geneva,None,1227,Switzerland,+41 22 827 8585,,+41 22 827 8584,,info@aimr.ch,/www.aimr.ch
39944,75493,Absolute Capital Management Holdings (Switzerland) Limited,1,Management Firm,1,"Cayman Islands, Zug branch",Baarerstrasse 8,,Zurich,None,CH-6300,Switzerland,+41 41 560 9660,,+41 41 560 9661,,info@abcapman.com,www.abcapman.com
35256,75497,ORN Management Company Ltd,11,Underwriter/Sponsor,1,,,,None,None,,None,,,,,,
35514,75498,Atlas Capital Limited,2,Investment Advisor,1,Atlas Capital Limited,Nuffield House,41-46 Piccadilly,London,None,W1J 0DS,United Kingdom,+44 20 7292 2200,,+44 20 7292 2222,,,www.atlascg.com
1484,75506,Regal Capital Management LLC,1,Management Firm,1,Regal Capital Management LLC,153 East 53rd Street,,New York,New York,10022,United States,+1 212 702 6795,,,,,
35454,75507,Boldwater Capital Management LP,1,Management Firm,1,100 Summer Street,Suite 1001,,Boston,Massachusetts,02110,United States,+1 617 897 2600,,+1 617 897 2666,,,www.boldwatercapital.com
35591,75513,Baker Barthmaier Beuret Management LLC,1,Management Firm,1,303 Congress Street,Suite 301,,Boston,Massachusetts,02210,United States,+1 617 439 0770,,+1 617 439 4450,,,
35505,75516,Sheffield Capital Management LLC,1,Management Firm,1,8199 McKnight Road,Suite 205,,Pittsburgh,Pennsylvania,15237,United States,+1 412 369 2245,,+1 412 367 5916,,,
583,75517,Axel Capital Management LLC,11,Underwriter/Sponsor,1,350 Park Avenue,25th Floor,,New York,New York,10022,United States,+1 212 935 7111,,+1 212 935 6999,,info@axelcapital.com,www.axelcapital.com
35220,75521,Mondiale Partners Ltd,1,Management Firm,1,211 East 53rd Street,14th Floor,,New York,New York,10022,United States,+1 212 829 1802,,+1 212 829 1804,,,www.mondialepartners.com
4112,75523,SciVest Capital Management Inc,1,Management Firm,1,Richmond-Adelaide Centre,120 Adelaide St W,"Suite 2400, PO Box 23",Toronto,Ontario,M5H 1T1,Canada,+1 416 304 6824,,+1 416 304 6617,,TradeDesk@SciVest.com,www.SciVest.com
35612,75527,DeltaOne Capital Partners Corp,1,Management Firm,1,26 Wellington Street East,Suite 920,,Toronto,Ontario,M5E 1C5,Canada,+1 416 594 3090,,+1 416 933 5751,,,www.deltaonecapital.com
40909,75530,Asia Genesis Asset Management Pte Ltd,1,Management Firm,1,65 Chulia Street,#38-07/08,OCBC Centre,Singapore,None,049513,Singapore,+65  6327 5230,,+65  6438 8780,,jessicaquek@asiagenesis.com,
35613,75533,Crown Advisors LLC,1,Management Firm,1,Crown Advisors LLC,PO Box 410797,,St Louis,Missouri,63141,United States,+1 314 576 0066,+1 314 576 0068,+1 314 576 0075,,cpauli@thecrownadvisors.com,www.thecrownadvisors.com
35533,75535,Tidewater Capital Management Inc,1,Management Firm,1,505 South Flagler Drive,Suite 405,,West Palm Beach,Florida,33401,United States,+1 561 210 8747,,+1 775 659 7732,,,www.tidewatercapital.com
35514,75547,Sigma Asset Management Limited,1,Management Firm,1,Suite 5,Pollet House,Lower Pollet,St Peters Port,None,GY1 1WF,Guernsey,+44 1481 735 510,,+44 1481 728 089,,,www.samgsy.com
35624,75550,DB Noteic Fund Ltd,1,Management Firm,1,280 Park Avenue,9th Floor,,New York,New York,10017,United States,+1 212 454 5532,,+1 212 454 0990,,,
1861,75557,Wharton Investment Advisors Limited,2,Investment Advisor,1,17/F Tesbury Center,28 Queen's Road East,,Hong Kong,None,,Hong Kong,,,,,,
35636,75558,Blackbird Research LLC,1,Management Firm,1,5910 North Central Expressway,Suite 1955,,Dallas,Texas,75206,United States,+1 214 369 2094,,+1 214 722 2359,,,
35625,75565,Lobdell Capital Management LLC,1,Management Firm,1,Lobdell Capital Management LLC,1828 Broadway,Suite 501,San Francisco,California,94109,United States,+1 866 272 5476,,+1 231 941 2369,,,www.lobdellcapital.com
35511,75572,Elysian Fund Management Ltd,1,Management Firm,1,Elysian Fund Management Ltd,16 Grosvenor Place,Belgravia,London,None,SW1X 7H,United Kingdom,+44 207 245 8870,,+44 20 7245 9691,,,www.elysianfund.com
34069,75578,Arktos LLC,1,Management Firm,1,Arktos LLC,195 Church Street,9th Floor,New Haven,Connecticut,06510-2,United States,+1 203 497 8700,,+1 203 497 8787,,,
